DrugMaster_ID	SourceSystem_Code	Drug_Code	DrugMaster_Code	Drug_Description	AltDrug_Description	Manufacturer_Name	Form_Code	Strength_Code	PackSize_Qty	OriginalDrug_Description	Universal_Code	GenericDrugType_Code	Schedule_Code	GenNHS_Code	Generic_Name	Type_Code	Class_Code	PBS_Code	PackMultiplier_Number	OverridePackSize_Qty	Processed	AutoDMC_Code	FailureType_Code	Created_DateTime	LastUpdate_DateTime	Mapped_DateTime	PBSItemValid					
7553	AMFAC	10644_40	!UNMAPPED	PANADEINE TABLETS 8MG-500MG 40	PANADEINE TABLETS 8MG-500MG 40	GC	TABLETS	8MG-500MG	40	PANADEINE TABLETS 8MG-500MG 40	9300673897589	PRI	3	9348B	9348B	PRI	NULL	9348B	NULL	NULL	NULL	NULL	5	NULL	34:36.1	NULL	1					
9516	AMFAC	1084_1	!UNMAPPED	RECTOGESIC OINTMENT 0.2%, 30G 1	RECTOGESIC OINTMENT 0.2%, 30G 1	QU	OINTMENT	0.2%, 30G	1	RECTOGESIC OINTMENT 0.2%, 30G 1	9325728000011	PRI	3	V99FB	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	5	NULL	37:56.7	NULL	0					
354236	AMFAC	11432_10	!UNMAPPED	MIDAZOLAM ALPHAPHARM AMPOULE 5MG/1ML 10	TARGIN TABLETS MR 40MG-20MG 56	AF	Ampoule	5mg/1mL	10	MIDAZOLAM ALPHAPHARM AMPOULE 5MG/1ML 10	9323610008152	GEN	4	8936H	NULL	GEN	NULL	8936H	NULL	NULL	NULL	NULL	7	NULL	34:36.1	NULL	1					
391130	AMFAC	12374_30	!UNMAPPED	VERSATIS PATCH 5% 30	VERSATIS PATCH 5% 30	G3	PATCH	5%	30	VERSATIS PATCH 5% 30	4032129039810	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	5	40:49.0	43:00.6	NULL	0					
388051	AMFAC	12378_1	!UNMAPPED	VITAMIN D3 PWDR 100,000IU/G, 1G 1	VITAMIN D3 POWDER INTERNAL 100,000IU/G, 1G 1	P3	POWDER INTERNAL	100,000IU/G, 1G	1	VITAMIN D3 VIAL 100,000IU/G,10G 1	NULL	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	3	37:08.5	37:03.4	NULL	0					
389256	AMFAC	12427_24	!UNMAPPED	CODAPANE XTRA TABLETS 15MG-500MG 24	CODAPANE XTRA TABLETS 15MG-500MG 24	AF	TABLETS	15MG-500MG	24	CODAPANE XTRA TABLETS 15MG-500MG 24	9323610008381	PRI	3	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	7	59:44.2	33:08.6	NULL	0					
404413	AMFAC	12489_1	!UNMAPPED	AZITHROMYCIN ALPHAPHARM VIAL 500MG 1	AZITHROMYCIN VIAL 500MG 10	AF	VIAL	500MG	1	AZITHROMYCIN ALPHAPHARM VIAL 500MG 1	9323610008671	PRI	4	2416E	NULL	PRI	NULL	2416E	NULL	NULL	NULL	NULL	5	32:20.6	34:36.1	NULL	1					
404415	AMFAC	12567_20	!UNMAPPED	PHARMACY CHOICE DOXYLAMINE TAB 25MG 20	PHARMACY CHOICE DOXYLAMINE TABLETS 25MG 20	YA	TABLETS	25MG	20	PHARMACY CHOICE DOXYLAMINE TAB 25MG 20	9316100669537	PRI	3	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	5	32:20.6	33:33.3	NULL	0					
404432	AMFAC	12708_40	!UNMAPPED	PANADEINE EXTRA CAPLETS 15MG-500MG 40	PANADEINE EXTRA CAPLETS 15MG-500MG 40	GC	CAPLETS	15MG-500MG	40	PANADEINE EXTRA CAPLETS 15MG-500MG 40	9300673925800	PRI	3	NULL	NULL	PRI	NULL	9044B	NULL	NULL	NULL	!UNMAPPED	14	32:20.6	34:36.4	03:44.4	1					
470976	AMFAC	13419_28	!UNMAPPED	MONTELUKAST AN TABLETS 10MG 28	MONTELUKAST-NA TABLETS 10MG 28	EA	TABLETS	10MG	28	MONTELUKAST AN TABLETS 10MG 28	9346697004206	PRI	4	NULL	NULL	PRI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	27:37.8	32:08.0	NULL	0					
