Barcode_ID	DrugMaster_Code_Key	Universal_Code_Key	IsGTIN	IsGTINOverride	AuditJob_ID	AuditCreate_Date	AuditUpdate_Date	AuditModify_Flag	AuditSource_Code
-1	NULL CODE	NULL CODE	0	0	594681	2000-01-01 00:00:00.000	2000-01-01 00:00:00.000	I	NULL CODE
1	3TC1	9300670275960	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
2	3TC2	9300670276189	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
3	3TC3	9322147075057	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
4	A106	9313109130457	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
5	A106	9313109880451	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
6	A107	9316626100897	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
7	A127	9322147009540	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
8	AB14	20137953	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
9	AB14	9310208040328	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
10	ABB1	9310185054219	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
11	ABB2	9310185634367	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
12	ABB2	9316626602476	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
13	ABB4	9310185700659	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
14	ABB6	9310185054011	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
15	ABB7	9310185054110	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
16	ABB7	9316626602506	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
17	ABB9	9316626602490	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
18	ABBZ1	93838375	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
19	ABIL1	9323820000939	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
20	ABIL2	9323820000953	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
21	ABIL3	9323820000960	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
22	ABIL4	9323820000984	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
23	ABIL5	9323820000892	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
24	ABS2	20138073	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
25	ABS2	4042809265156	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
26	ABS2	9310208056749	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
27	ABS4	4042809265132	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
28	ABS4	9310208056725	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
29	ABS6	9300607020137	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
30	ABTX1	9310185631830	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
31	ABTX1	9316626602483	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
33	AC30	9310059061350	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
34	ACC4	9310059023105	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
35	ACC4	9313212100828	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
36	ACC5	9310059023112	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
37	ACC5	9313212100835	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
38	ACC6	9310059023129	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
39	ACC6	9313212100842	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
