GenNHS_ID	GenNHS_Code_Key	GenNHS_Name	OverrideGenNHS_Name	ChemistListPrice_Amt	MoleculeGroup_Name	GenNhsSubGroup_Name	GenNhsSubGroup_ID	EffectiveFromCalendarPeriod_Number	EffectiveToCalendarPeriod_Number	AuditJob_ID	AuditCreate_Date	AuditUpdate_Date	AuditModify_Flag	AuditSource_Code	OverrideGenNHS_Code_Description
1	A100	AMINO AC VIT & MIN NO PHENYL	NULL	523.6058		AMINO AC VIT & MIN NO PHENYL	79	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
2	A102	AMINO AC NO PHENYL	NULL	144.6442		AMINO AC NO PHENYL	63	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
3	A103	AMINO AC NO PHENYL FOOD SUPP	NULL	164.6058		AMINO AC NO PHENYL FOOD SUPP	64	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
4	A104	AMINO AC VIT & MIN NO PHENYL	NULL	105.4808		AMINO AC VIT & MIN NO PHENYL	79	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
5	A105	AMINO AC VIT & MIN NO PHENYL	NULL	161.7788		AMINO AC VIT & MIN NO PHENYL	79	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
6	A126	AMOXYCILLIN	NULL	2.2174	AMOXYCILLIN (INC CLAV)	AMOXYCILLIN	102	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
7	A134	AMYLOBARB SOD	NULL	11.32		AMYLOBARB SOD	108	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
8	A155	AMYLOBARB SOD	NULL	11.32		AMYLOBARB SOD	108	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
9	A400	AMINO AC SYNTHETIC	NULL	42.09	"AMINO ACIDS—SYNTHETIC, FORMULA"	AMINO AC SYNTHETIC	66	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
5456	AAVM1	AMINO AC VIT & MIN NO PHENYL	NULL	NULL		AMINO AC VIT & MIN NO PHENYL	79	NULL	NULL	9957041	2016-03-01 00:00:00.000	2016-03-01 19:31:55.243	I	DW	NULL
5457	AAVM2	AMINO AC VIT & MIN NO PHENYL	NULL	NULL		AMINO AC VIT & MIN NO PHENYL	79	NULL	NULL	9957041	2016-03-01 00:00:00.000	2016-03-01 19:31:55.243	I	DW	NULL
5488	AAVM3	AMINO AC VIT & MIN NO PHENYL	NULL	NULL		AMINO AC VIT & MIN NO PHENYL	79	NULL	NULL	10236040	2016-04-01 00:00:00.000	2016-04-01 19:32:39.243	I	DW	NULL
5489	AAVM4	AMINO AC V&M NO M/T/V LOW ISO	NULL	NULL		AMINO AC V&M NO M/T/V LOW ISO	73	NULL	NULL	10236040	2016-04-01 00:00:00.000	2016-04-01 19:32:39.243	I	DW	NULL
5540	AAVM5	AMINO AC CARB VIT NO PHENYL	NULL	NULL		AMINO AC CARB VIT NO PHENYL	1970	NULL	NULL	11020363	2016-07-01 00:00:00.000	2016-07-02 19:33:52.927	U	DW	NULL
5541	AAVM6	AMINO AC FAT CARB VIT NO PHENY	NULL	NULL		AMINO AC FAT CARB VIT NO PHENY	1971	NULL	NULL	11020363	2016-07-01 00:00:00.000	2016-07-02 19:33:52.927	U	DW	NULL
10	AB15	ABSORBENT PADS	NULL	6.62		ABSORBENT PADS	9	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
11	AB56	ABSORBENT PAD PANTS	NULL	3.13		ABSORBENT PAD PANTS	8	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
12	AB57	ABSORBENT PAD PANTS	NULL	3.7509		ABSORBENT PAD PANTS	8	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
13	AB58	ABSORBENT PAD PANTS	NULL	4.3464		ABSORBENT PAD PANTS	8	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
14	ABAC1	ABACAVIR SULPHATE	NULL	282.00	ABACAVIR SULPHATE	ABACAVIR SULPHATE	1	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
