DrugMaster_ID	SourceSystem_Code	Drug_Code	DrugMaster_Code	Drug_Description	AltDrug_Description	OriginalDrug_Description	Universal_Code	GenericDrugType_Code	Schedule_Code	Manufacturer_Name	GenNHS_Code	Form_Code	Strength_Code	Generic_Name	PackSize_Qty	Type_Code	Class_Code	PBS_Code	PackMultiplier_Number	OverridePackSize_Qty	Processed	AutoDMC_Code	FailureType_Code	Created_DateTime	LastUpdate_DateTime	Mapped_DateTime	PBSItemValid	Column 28
NULL	AMFAC	14348_30	!UNMAPPED	GENVOYA TABLETS 150-150-200-10MG 30	GENVOYA TABLETS 150-150-200-10MG 60	GENVOYA TABLETS 150-150-200-10MG 30	5391507141668	NULL	NULL	GI	NULL	TABLETS	150-150-200-10MG	NULL	30	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	AQUARIUS	42099|50027	!UNMAPPED	NULL	MUPIROCIN	MUPIROCIN	NULL	NULL	NULL	MS	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	PHARMACYPRO	18802	!UNMAPPED	FENAC 25MG T BL/PK	DICLOFENAC SODIUM 25MG T (AF)	FENAC 25MG T BL/PK	NULL	NULL	NULL	AF	NULL	TABLET	NULL	NULL	50	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	SIGMA	235218	!UNMAPPED	ATOMOXETINE AMNEAL 10MG BLS 28	ATOMOXETINE	ATOMOXETINE AMNEAL 10MG BLS 28	9346697006392	NULL	NULL	AMNEAL PHARM PTY LTD	NULL	NULL	10MG	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	06F57F45-4A0B-4A95-8585-78C40341632F	!UNMAPPED	EGO QV SKN LTN 1LTR	EGO QV SKN LTN 1LTR	EGO QV SKN LTN 1LTR	9314839001451	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	1C579FE4-9A92-449F-B025-8D6C3286E3D8	!UNMAPPED	LOMANI EDT 100ML	LOMANI EDT 100ML	LOMANI EDT 100ML	3610400000387	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	28DAC54F-5F21-41A8-8AA8-032329515C43	!UNMAPPED	NUTRACEUTICAL	NUTRACEUTICAL CAPSULES 587 FULL-STR	NUTRACEUTICAL	NULL	NULL	NULL	NULL	NULL	CAPSULES	587	NULL	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	3CBFF03E-2A23-424D-8DEC-06EBA6F73352	!UNMAPPED	PTG USB CHARGING CABLE 8 PIN WHITE	PTG USB CHARGING CABLE 8 PIN WHITE	PTG USB CHARGING CABLE 8 PIN WHITE	9333527340788	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	4DF6F4A5-879E-45C0-8620-A39080659748	!UNMAPPED	EAGLE SUBLINGUAL B12 1000MG 100TABS	EAGLE SUBLINGUAL B12 1000MG 100TABS	EAGLE SUBLINGUAL B12 1000MG 100TABS	9332510001330	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NULL	ZDISPENSE	5D36E0CA-8629-409A-A7B2-AC15AE230EFA	!UNMAPPED	CLINDAMYCIN 1% GEL	CLINDAMYCIN 1% GEL	CLINDAMYCIN 1% GEL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
